# file...... inverter_power_B_pv.csv
# date...... Sun Sep 17 16:44:52 2017
# user...... ericlinxie
# host...... (null)
# group..... class=inverter
# property.. power_B
# limit..... 0
# interval.. 0
# timestamp,inverter:60
2000-08-02 00:00:00 HDT,+0+0j
2000-08-02 01:00:00 HDT,+0+0j
2000-08-02 02:00:00 HDT,+0+0j
2000-08-02 03:00:00 HDT,+0+0j
2000-08-02 04:00:00 HDT,+0+0j
2000-08-02 05:00:00 HDT,+0+0j
2000-08-02 06:00:00 HDT,+142614+0j
2000-08-02 07:00:00 HDT,+570175+0j
2000-08-02 08:00:00 HDT,+799730+0j
2000-08-02 09:00:00 HDT,+1.36665e+06+0j
2000-08-02 10:00:00 HDT,+1.94382e+06+0j
2000-08-02 11:00:00 HDT,+2.06175e+06+0j
2000-08-02 12:00:00 HDT,+3.27795e+06+0j
2000-08-02 13:00:00 HDT,+3.23464e+06+0j
2000-08-02 14:00:00 HDT,+3.22383e+06+0j
2000-08-02 15:00:00 HDT,+2.81376e+06+0j
2000-08-02 16:00:00 HDT,+2.60617e+06+0j
2000-08-02 17:00:00 HDT,+1.80199e+06+0j
2000-08-02 18:00:00 HDT,+238188+0j
2000-08-02 19:00:00 HDT,+0+0j
2000-08-02 20:00:00 HDT,+0+0j
2000-08-02 21:00:00 HDT,+0+0j
2000-08-02 22:00:00 HDT,+0+0j
2000-08-02 23:00:00 HDT,+0+0j
2000-08-03 00:00:00 HDT,+0+0j
