# file...... time_results/load_powerB_pv.csv
# date...... Sun Dec 10 19:41:19 2017
# user...... ericlinxie
# host...... (null)
# group..... class=load
# property.. power_B
# limit..... 0
# interval.. 0
# timestamp,l634,l645,l646,l652,l671,l675,l692,l611,l6711,l6321
2000-08-02 00:00:00 HDT,+120000+90000j,+170000+125000j,+0+0j,+0+0j,+385000+220000j,+68000+60000j,+0+0j,+0+0j,+22000+12666.7j,+44000+25333.3j
2000-08-02 01:00:00 HDT,+120000+90000j,+170000+125000j,+0+0j,+0+0j,+385000+220000j,+68000+60000j,+0+0j,+0+0j,+22000+12666.7j,+44000+25333.3j
2000-08-02 02:00:00 HDT,+120000+90000j,+170000+125000j,+0+0j,+0+0j,+385000+220000j,+68000+60000j,+0+0j,+0+0j,+22000+12666.7j,+44000+25333.3j
2000-08-02 03:00:00 HDT,+120000+90000j,+170000+125000j,+0+0j,+0+0j,+385000+220000j,+68000+60000j,+0+0j,+0+0j,+22000+12666.7j,+44000+25333.3j
2000-08-02 04:00:00 HDT,+120000+90000j,+170000+125000j,+0+0j,+0+0j,+385000+220000j,+68000+60000j,+0+0j,+0+0j,+22000+12666.7j,+44000+25333.3j
2000-08-02 05:00:00 HDT,+120000+90000j,+170000+125000j,+0+0j,+0+0j,+385000+220000j,+68000+60000j,+0+0j,+0+0j,+22000+12666.7j,+44000+25333.3j
2000-08-02 06:00:00 HDT,+120000+90000j,+170000+125000j,+0+0j,+0+0j,+385000+220000j,+68000+60000j,+0+0j,+0+0j,+22000+12666.7j,+44000+25333.3j
2000-08-02 07:00:00 HDT,+120000+90000j,+170000+125000j,+0+0j,+0+0j,+385000+220000j,+68000+60000j,+0+0j,+0+0j,+22000+12666.7j,+44000+25333.3j
2000-08-02 08:00:00 HDT,+120000+90000j,+170000+125000j,+0+0j,+0+0j,+385000+220000j,+68000+60000j,+0+0j,+0+0j,+22000+12666.7j,+44000+25333.3j
2000-08-02 09:00:00 HDT,+120000+90000j,+170000+125000j,+0+0j,+0+0j,+385000+220000j,+68000+60000j,+0+0j,+0+0j,+22000+12666.7j,+44000+25333.3j
2000-08-02 10:00:00 HDT,+120000+90000j,+170000+125000j,+0+0j,+0+0j,+385000+220000j,+68000+60000j,+0+0j,+0+0j,+22000+12666.7j,+44000+25333.3j
2000-08-02 11:00:00 HDT,+120000+90000j,+170000+125000j,+0+0j,+0+0j,+385000+220000j,+68000+60000j,+0+0j,+0+0j,+22000+12666.7j,+44000+25333.3j
2000-08-02 12:00:00 HDT,+120000+90000j,+170000+125000j,+0+0j,+0+0j,+385000+220000j,+68000+60000j,+0+0j,+0+0j,+22000+12666.7j,+44000+25333.3j
2000-08-02 13:00:00 HDT,+120000+90000j,+170000+125000j,+0+0j,+0+0j,+385000+220000j,+68000+60000j,+0+0j,+0+0j,+22000+12666.7j,+44000+25333.3j
2000-08-02 14:00:00 HDT,+120000+90000j,+170000+125000j,+0+0j,+0+0j,+385000+220000j,+68000+60000j,+0+0j,+0+0j,+22000+12666.7j,+44000+25333.3j
2000-08-02 15:00:00 HDT,+120000+90000j,+170000+125000j,+0+0j,+0+0j,+385000+220000j,+68000+60000j,+0+0j,+0+0j,+22000+12666.7j,+44000+25333.3j
2000-08-02 16:00:00 HDT,+120000+90000j,+170000+125000j,+0+0j,+0+0j,+385000+220000j,+68000+60000j,+0+0j,+0+0j,+22000+12666.7j,+44000+25333.3j
2000-08-02 17:00:00 HDT,+120000+90000j,+170000+125000j,+0+0j,+0+0j,+385000+220000j,+68000+60000j,+0+0j,+0+0j,+22000+12666.7j,+44000+25333.3j
2000-08-02 18:00:00 HDT,+120000+90000j,+170000+125000j,+0+0j,+0+0j,+385000+220000j,+68000+60000j,+0+0j,+0+0j,+22000+12666.7j,+44000+25333.3j
2000-08-02 19:00:00 HDT,+120000+90000j,+170000+125000j,+0+0j,+0+0j,+385000+220000j,+68000+60000j,+0+0j,+0+0j,+22000+12666.7j,+44000+25333.3j
2000-08-02 20:00:00 HDT,+120000+90000j,+170000+125000j,+0+0j,+0+0j,+385000+220000j,+68000+60000j,+0+0j,+0+0j,+22000+12666.7j,+44000+25333.3j
2000-08-02 21:00:00 HDT,+120000+90000j,+170000+125000j,+0+0j,+0+0j,+385000+220000j,+68000+60000j,+0+0j,+0+0j,+22000+12666.7j,+44000+25333.3j
2000-08-02 22:00:00 HDT,+120000+90000j,+170000+125000j,+0+0j,+0+0j,+385000+220000j,+68000+60000j,+0+0j,+0+0j,+22000+12666.7j,+44000+25333.3j
2000-08-02 23:00:00 HDT,+120000+90000j,+170000+125000j,+0+0j,+0+0j,+385000+220000j,+68000+60000j,+0+0j,+0+0j,+22000+12666.7j,+44000+25333.3j
2000-08-03 00:00:00 HDT,+120000+90000j,+170000+125000j,+0+0j,+0+0j,+385000+220000j,+68000+60000j,+0+0j,+0+0j,+22000+12666.7j,+44000+25333.3j
