# file...... time_results/line_in_A/underground_line_losses.csv
# date...... Tue Nov 28 10:27:00 2017
# user...... ericlinxie
# host...... (null)
# group..... class=underground_line
# property.. current_in_A
# limit..... 0
# interval.. 0
# timestamp,line_684-652,line_692-675
2000-08-02 00:00:00 HDT,+49.0415-39.824j,+204.468-18.3223j
2000-08-02 01:00:00 HDT,+49.0415-39.8241j,+204.468-18.3223j
2000-08-02 02:00:00 HDT,+49.0415-39.824j,+204.468-18.3223j
2000-08-02 03:00:00 HDT,+49.0415-39.824j,+204.468-18.3223j
2000-08-02 04:00:00 HDT,+49.0415-39.824j,+204.468-18.3223j
2000-08-02 05:00:00 HDT,+49.0415-39.824j,+204.468-18.3223j
2000-08-02 06:00:00 HDT,+49.0415-39.824j,+204.468-18.3223j
2000-08-02 07:00:00 HDT,+49.0415-39.824j,+204.468-18.3223j
2000-08-02 08:00:00 HDT,+49.0415-39.824j,+204.468-18.3223j
2000-08-02 09:00:00 HDT,+49.0415-39.824j,+204.468-18.3223j
2000-08-02 10:00:00 HDT,+49.0415-39.824j,+204.468-18.3223j
2000-08-02 11:00:00 HDT,+49.0415-39.824j,+204.468-18.3223j
2000-08-02 12:00:00 HDT,+49.0415-39.824j,+204.468-18.3223j
2000-08-02 13:00:00 HDT,+49.0415-39.824j,+204.468-18.3223j
